0, „Zwei“, 2
1, „Zwei“, 2
2, „Zwei“, 2
3, „Zwei“, 2
4, „Zwei“, 2
5, „Zwei“, 2
6, „Zwei“, 2
7, „Drei“, 3
8, „Drei“, 3
9, „Drei“, 3
10, „Drei“, 3
11, „Drei“, 3
12, „Drei“, 3
13, „Drei, 3
14, „+-Vier“, 4
15, „+-Vier“, 4
16, „+-Vier“, 4
17, „+-Vier“, 4
18, „+-Vier“, 4
19, „+-Vier“, 4
20, „+-Vier“, 4
21, „Fünf“, 5
22, „Fünf“, 5
23, „Fünf“, 5
24, „Fünf“, 5
25, „Fünf“, 5
26, „Fünf“, 5
27, „Fünf“, 5
28, „Sechs“, 6
29, „Sechs“, 6
30, „Sechs“, 6
31, „Sechs“, 6
32, „Sechs“, 6
33, „Sechs“, 6
34, „Sechs“, 6
35, „Die feurige 7“, 7
36, „Die feurige 7“, 7
37, „Die feurige 7“, 7
38, „Die feurige 7“, 7
39, „Die feurige 7“, 7
40, „Die feurige 7“, 7
41, „Die feurige 7“, 7
42, „Acht“, 8
43, „Acht“, 8
44, „Acht“, 8
45, „Acht“, 8
46, „Acht“, 8
47, „Acht“, 8
48, „Acht“, 8
49, „Neun“, 9
50, „Neun“, 9
51, „Neun“, 9
52, „Neun“, 9
53, „Neun“, 9
54, „Neun“, 9
55, „Neun“, 9
56, „Zehn“, 10
57, „Zehn“, 10
58, „Zehn“, 10
59, „Zehn“, 10
60, „Zehn“, 10
61, „Zehn“, 10
62, „Zehn“, 10
63, „Zwölf“, 12
64, „Zwölf“, 12
65, „Zwölf“, 12
66, „Zwölf“, 12
67, „Zwölf“, 12
68, „Zwölf“, 12
69, „Zwölf“, 12
70, „Dreizehn“, 13
71, „Dreizehn“, 13
72, „Dreizehn“, 13
73, „Dreizehn“, 13
74, „Dreizehn“, 13
75, „Dreizehn“, 13
76, „Dreizehn“, 13
77, „Dreizehn“, 13
78, „Dreizehn“, 13
79, „Dreizehn“, 13
80, „1 oder 11“, w
81, „1 oder 11“, w
82, „1 oder 11“, w
83, „1 oder 11“, w
84, „1 oder 11“, w
85, „1 oder 11“, w
86, „1 oder 11“, w
87, „1 oder 11“, w
88, „1 oder 11“, w
89, „1 oder 11“, w
90, „Das "="“, z
91, „Das "="“, z
92, „Das "="“, z
93, „Das "="“, z
94, „Das "="“, z
95, „Das "="“, z
96, „Das "="“, z
97, „Tauschen“, y
98, „Tauschen“, y
99, „Tauschen“, y
100, „Tauschen“, y
101, „Tauschen“, y
102, „Tauschen“, y
103, „Tauschen“, y
104, „Der Magnet“, x
105, „Der Magnet“, x
106, „Der Magnet“, x
107, „Der Magnet“, x
108, „Der Magnet“, x
109, „Der Magnet“, x
